N,P,K,temperature,humidity,ph,rainfall,label,yield
76.19,44.75,26.61,24.84,62.0,5.07,105.15,maize,6471.29
79.76,48.99,39.28,21.85,79.27,5.98,183.7,rice,5416.56
18.53,75.26,27.64,27.84,42.96,5.17,119.56,pigeonpeas,1699.37
24.55,118.56,207.8,21.98,93.7,5.65,97.64,apple,14329.39
98.18,74.47,40.53,26.68,81.63,6.33,60.03,banana,35956.89
70.95,55.84,36.76,21.66,84.3,6.67,167.42,jute,3168.55
19.76,71.56,35.56,29.62,43.76,5.67,139.93,pigeonpeas,1504.3
25.99,53.64,14.35,26.35,90.96,6.66,26.8,mungbean,1052.93
18.99,68.42,23.43,24.63,65.33,6.82,46.81,lentil,1765.53
88.69,48.03,48.14,23.84,50.96,6.52,54.6,wheat,5507.53
21.1,71.96,17.15,29.7,41.85,6.24,149.28,pigeonpeas,1989.44
24.29,11.28,29.27,30.02,97.83,6.16,185.74,coconut,8293.58
25.71,15.98,13.91,24.98,90.65,6.4,105.64,orange,10828.31
30.49,65.37,20.16,18.66,22.67,5.18,94.08,kidneybeans,2102.77
24.79,77.04,22.53,25.89,46.72,5.89,190.36,pigeonpeas,1656.74
44.21,66.15,50.93,16.88,14.88,7.01,54.44,chickpea,1630.08
88.56,44.38,32.29,27.81,86.85,6.5,198.03,jute,3269.9
19.43,48.65,8.1,24.34,88.08,7.01,39.9,mungbean,1284.98
46.8,67.26,16.72,31.75,65.39,7.05,55.49,blackgram,843.37
48.28,56.24,50.26,35.66,91.55,6.67,177.55,papaya,39573.59
63.08,55.65,39.21,22.15,76.94,5.17,224.7,rice,5384.61
23.66,129.48,188.49,17.71,92.31,5.61,115.93,apple,10096.18
106.37,13.12,46.6,25.2,85.2,6.58,35.45,watermelon,28043.81
21.47,141.99,190.88,23.73,85.93,6.35,61.14,grapes,27641.48
46.71,64.29,75.15,21.69,23.06,7.67,59.8,chickpea,2170.71
22.56,133.03,192.13,22.1,79.24,5.77,78.8,grapes,19142.12
16.31,15.89,41.93,23.24,89.6,6.56,109.29,pomegranate,11513.53
19.25,66.37,14.79,17.66,23.39,5.53,111.33,kidneybeans,2283.61
20.81,68.51,20.75,25.18,52.02,5.87,163.66,pigeonpeas,1633.53
20.3,21.22,42.49,17.12,89.53,6.15,102.95,pomegranate,12532.29
107.74,42.46,42.15,26.22,68.2,6.77,92.24,cotton,3014.28
18.52,20.97,35.77,27.09,99.85,5.78,183.01,coconut,7443.27
20.68,67.23,10.93,23.96,65.51,7.25,61.88,lentil,1363.4
16.31,68.91,22.3,20.39,18.94,5.76,134.24,kidneybeans,2779.75
84.52,42.31,18.99,21.99,67.99,6.33,70.32,maize,7325.0
89.25,45.17,47.76,19.99,44.21,7.25,88.16,wheat,4939.98
52.44,59.1,51.55,33.27,88.62,6.33,140.42,papaya,37236.42
16.84,63.42,21.25,19.12,64.08,6.84,32.36,lentil,1296.38
93.56,50.07,49.38,21.45,75.78,5.11,244.88,rice,5710.85
15.13,71.52,13.46,16.8,20.11,5.92,101.06,kidneybeans,2316.85
12.58,31.36,25.26,33.51,49.55,6.05,117.7,mango,9812.6
27.6,48.54,15.47,29.92,88.32,6.39,52.81,mungbean,1636.09
50.21,70.06,55.67,31.77,90.14,6.99,121.78,papaya,38399.42
66.69,50.37,15.37,23.11,60.41,5.79,79.1,maize,7988.85
13.7,53.96,23.38,24.57,98.55,6.68,40.23,mungbean,1008.47
55.92,68.09,56.98,34.72,88.99,6.58,146.2,papaya,30742.4
77.98,46.69,40.99,25.25,43.78,6.15,64.22,wheat,5232.15
19.76,18.02,42.71,19.38,94.67,6.8,80.1,pomegranate,9756.7
11.84,70.4,14.72,29.65,43.19,6.01,171.12,pigeonpeas,2279.85
12.47,18.74,44.43,18.1,87.23,6.86,117.66,pomegranate,10049.56
37.49,72.88,85.16,20.94,19.57,7.17,68.04,chickpea,1531.67
15.27,71.02,11.91,24.69,61.85,6.68,31.54,lentil,1422.73
66.89,49.23,22.49,24.28,72.9,5.49,68.78,maize,5927.03
55.28,51.64,48.9,33.49,95.12,6.73,154.7,papaya,34877.86
16.47,136.46,186.23,19.02,88.21,5.9,141.22,apple,13502.61
18.03,68.89,26.15,21.21,19.45,6.45,110.3,kidneybeans,3055.41
23.24,21.08,44.04,20.76,94.54,6.43,106.37,pomegranate,11141.71
17.03,18.71,40.52,21.05,87.75,6.41,107.04,pomegranate,9813.23
103.33,17.05,51.16,30.63,90.29,6.62,24.65,muskmelon,18351.29
34.35,80.06,95.16,19.81,18.22,7.44,58.72,chickpea,1576.05
114.36,11.8,49.18,27.09,100.0,6.53,36.88,watermelon,24572.09
30.5,53.12,28.22,28.78,58.84,6.58,44.56,mothbeans,655.51
28.05,69.14,23.18,26.36,41.9,5.63,146.52,pigeonpeas,1789.46
52.97,53.99,46.75,32.1,90.19,7.16,103.58,papaya,37641.61
97.48,46.63,49.39,17.49,60.73,5.91,79.65,wheat,5216.54
116.68,17.29,47.63,24.53,93.02,6.54,17.42,muskmelon,16994.6
55.28,58.89,49.92,35.14,94.88,7.18,106.88,papaya,39110.85
40.06,82.34,63.31,21.18,17.48,7.73,79.62,chickpea,1363.78
23.43,67.29,25.83,29.06,37.11,5.64,137.76,pigeonpeas,2181.98
29.0,51.52,22.67,28.33,46.09,6.65,59.42,mothbeans,988.19
36.19,66.5,27.88,29.9,61.37,6.74,72.99,blackgram,905.29
19.94,114.64,193.38,21.73,83.16,5.8,85.67,grapes,25219.97
16.82,53.49,24.34,27.01,55.88,6.35,52.85,mothbeans,1404.07
22.67,72.2,26.09,22.11,24.62,5.61,93.57,kidneybeans,2674.62
19.9,67.46,26.1,17.85,19.71,6.01,93.09,kidneybeans,2946.83
11.27,70.47,21.92,19.18,25.02,5.36,127.56,kidneybeans,2531.54
36.84,69.27,88.2,17.9,19.36,7.35,70.05,chickpea,1685.13
78.61,43.38,56.21,23.03,46.56,7.63,89.73,wheat,4469.78
111.45,37.66,47.92,25.04,66.05,6.81,72.84,cotton,2246.42
84.2,44.82,14.05,20.75,64.08,5.7,40.89,maize,7790.67
87.78,12.47,45.9,30.88,93.0,6.68,28.69,muskmelon,14987.69
18.17,133.48,186.91,22.33,95.4,5.75,117.0,apple,14332.01
23.36,17.65,29.47,25.86,94.76,6.05,131.46,coconut,7530.3
68.02,57.82,40.18,21.6,83.07,5.94,193.37,rice,5948.4
48.07,57.82,53.57,34.46,94.39,6.61,154.29,papaya,41317.54
23.05,26.3,28.29,28.69,48.15,4.7,83.2,mango,10137.95
41.67,74.5,23.34,28.57,70.89,6.91,49.46,blackgram,1112.33
30.41,140.05,212.14,24.59,74.48,5.69,75.82,grapes,20808.4
28.81,31.45,27.65,29.99,44.93,5.51,70.35,mango,9664.34
21.94,27.0,34.13,29.51,45.8,5.5,83.56,mango,11051.01
23.76,44.33,18.5,24.75,85.93,6.69,41.71,mungbean,1388.56
18.2,68.63,31.53,21.2,68.98,7.4,42.75,lentil,1689.82
83.21,51.23,22.78,22.18,64.01,5.92,81.1,maize,8401.7
57.28,69.82,50.31,34.1,90.62,6.96,117.69,papaya,22832.44
82.54,45.78,58.85,19.47,50.62,6.78,75.65,wheat,5787.87
37.08,62.57,20.15,28.72,72.42,6.78,47.01,blackgram,762.76
10.44,32.33,32.42,30.92,54.53,5.26,81.71,mango,9235.54
23.42,129.67,195.03,24.16,82.2,6.23,67.19,grapes,21327.98
128.54,49.76,41.36,23.45,63.83,6.93,75.81,cotton,2894.76
77.13,46.21,34.09,24.87,87.84,6.57,144.07,jute,3458.86
53.76,38.81,37.6,26.15,68.29,7.18,179.26,jute,3726.64
34.87,73.5,90.61,19.6,19.08,8.03,73.0,chickpea,1365.75
116.7,40.98,43.83,25.48,70.88,6.02,78.86,cotton,2625.24
23.34,71.36,21.92,26.01,49.25,5.45,143.94,pigeonpeas,2494.17
39.12,71.34,80.98,21.89,15.84,7.72,70.08,chickpea,1726.54
22.27,22.24,39.85,21.28,93.33,6.05,100.54,pomegranate,13016.42
35.98,66.06,75.86,16.57,14.23,7.46,64.59,chickpea,929.46
53.58,56.94,41.39,34.07,91.75,6.71,163.75,papaya,38754.31
20.15,13.44,8.66,30.96,95.06,7.26,97.54,orange,14029.8
18.35,20.15,12.38,24.36,90.52,6.71,111.64,orange,12229.04
26.98,45.02,11.63,27.78,53.17,6.85,64.62,mothbeans,1182.82
104.33,80.51,47.6,27.78,78.66,5.67,161.03,banana,39901.31
15.05,70.86,16.38,26.53,60.14,6.87,40.45,lentil,1312.47
23.36,131.91,215.49,21.38,70.58,5.94,76.03,grapes,21596.64
50.43,62.93,76.39,19.25,17.84,7.21,89.83,chickpea,2250.18
93.71,43.27,48.63,25.82,45.0,6.16,82.71,wheat,4890.26
91.31,22.48,40.61,24.79,90.54,6.56,32.96,muskmelon,14985.87
31.24,39.87,17.22,28.07,90.69,6.82,52.1,mungbean,1077.73
77.28,40.41,18.21,23.78,67.88,6.25,86.0,maize,7108.42
20.71,31.81,32.3,32.83,50.67,5.9,79.06,mango,9423.68
18.66,28.04,19.1,30.89,41.6,5.34,91.26,mango,11058.38
17.25,18.62,33.27,24.7,93.57,6.44,98.91,pomegranate,12713.61
22.12,12.82,28.52,30.37,92.73,6.08,182.86,coconut,7041.82
77.31,51.59,47.51,23.15,90.14,5.31,148.9,rice,5490.42
17.92,71.14,28.32,24.53,62.21,7.04,40.56,lentil,1408.8
33.49,48.23,16.79,33.65,46.41,6.81,52.8,mothbeans,1371.56
18.34,20.61,40.12,19.04,88.16,5.91,147.54,pomegranate,12501.45
110.02,41.34,40.23,31.45,74.03,6.72,65.59,cotton,3054.8
14.66,47.16,20.34,24.51,54.66,6.49,68.11,mothbeans,1338.68
81.51,48.25,46.39,26.23,51.91,6.72,90.45,wheat,5073.31
65.54,48.27,16.45,19.48,63.91,5.85,133.53,maize,7091.74
75.05,51.48,18.33,24.35,66.85,5.95,93.95,maize,5835.46
73.5,48.0,23.01,19.11,53.52,5.72,60.59,maize,6494.99
95.77,15.79,61.39,31.64,93.4,6.84,13.87,muskmelon,13844.59
73.49,45.56,37.04,21.27,82.24,5.58,208.11,rice,5784.95
41.17,66.76,92.01,18.42,12.1,7.16,70.21,chickpea,1796.76
20.3,17.85,10.58,20.22,94.81,7.44,128.76,orange,14461.95
76.7,44.77,34.0,20.84,84.09,6.77,197.55,jute,3224.58
24.66,54.27,24.0,32.12,87.79,6.65,52.43,mungbean,1608.69
30.71,71.02,82.98,19.92,21.17,7.61,75.22,chickpea,1399.09
89.04,73.16,52.17,26.55,71.59,6.14,76.21,banana,42010.58
95.4,81.78,51.37,25.8,85.35,5.94,89.25,banana,45508.73
50.77,63.36,50.25,33.96,94.15,6.55,147.98,papaya,35591.94
18.1,17.94,11.69,21.3,92.05,6.81,143.03,orange,12600.15
124.81,16.51,49.58,25.34,89.57,7.07,22.39,muskmelon,19431.79
67.28,40.23,24.09,22.75,60.49,5.57,107.51,maize,5977.15
14.39,69.13,23.15,23.4,68.4,6.69,24.85,lentil,1431.81
74.71,51.66,21.68,22.63,67.35,5.23,100.14,maize,7826.0
98.34,15.36,46.98,28.49,84.69,6.0,54.83,watermelon,27203.72
101.44,18.05,58.91,27.26,91.91,6.94,25.74,muskmelon,19476.1
95.14,13.48,45.12,22.32,92.64,6.86,54.32,watermelon,26728.45
107.01,8.17,50.72,23.37,89.11,6.54,38.75,watermelon,28681.36
97.34,81.18,56.82,26.12,83.06,6.01,101.96,banana,52985.39
91.44,72.51,50.91,23.29,82.31,5.97,127.69,banana,38422.28
23.98,14.29,27.23,22.84,93.41,6.21,173.88,coconut,7872.51
54.28,56.63,45.93,31.78,87.66,6.71,126.55,papaya,39032.89
22.99,67.2,18.78,24.11,64.38,6.84,57.43,lentil,1601.35
62.87,54.77,39.43,25.48,74.03,5.7,200.16,rice,5323.02
96.64,10.44,42.83,28.86,84.49,6.46,40.35,watermelon,28090.47
76.81,53.87,35.09,23.5,75.76,6.26,151.57,jute,3511.46
18.66,15.93,9.61,24.91,88.63,6.81,71.68,orange,14757.94
16.7,65.13,22.68,30.07,45.96,6.07,151.47,pigeonpeas,2135.68
88.67,59.19,46.88,18.95,49.9,6.35,87.0,wheat,3997.55
101.22,82.7,46.35,27.49,73.79,5.72,117.92,banana,39584.86
105.25,8.24,43.59,24.86,80.48,6.74,58.15,watermelon,21412.13
22.96,54.48,16.85,19.02,23.9,5.71,76.89,kidneybeans,2069.25
16.39,48.04,12.61,27.02,45.82,7.01,58.17,mothbeans,912.56
105.86,50.91,34.15,23.47,91.39,6.64,176.19,jute,2721.0
31.67,30.89,30.06,32.73,41.82,6.46,83.2,mango,8774.77
45.5,51.79,45.04,31.24,93.18,6.54,145.74,papaya,40092.89
21.05,17.56,31.21,30.6,93.29,5.91,161.01,coconut,5845.98
23.55,70.15,21.9,18.89,21.61,6.2,86.15,kidneybeans,3209.73
84.71,57.41,46.73,26.19,79.44,5.51,196.23,rice,5439.6
97.37,19.46,53.96,32.69,92.43,6.19,29.24,muskmelon,20574.35
21.82,69.39,15.76,24.09,58.17,7.22,46.82,lentil,1100.12
81.55,48.75,40.81,25.54,86.99,6.62,138.58,jute,4059.56
87.65,54.18,20.44,22.39,61.91,5.84,97.32,maize,8160.39
21.2,8.34,25.99,25.25,97.19,6.11,163.92,coconut,7202.6
117.63,31.29,44.94,24.4,55.85,6.0,94.63,cotton,2337.48
108.35,84.69,52.5,28.0,84.42,6.09,112.18,banana,48627.52
10.54,16.63,48.32,20.05,88.53,6.42,84.58,pomegranate,8162.91
18.94,21.84,12.24,18.92,91.83,7.11,94.76,orange,9016.57
115.08,19.53,53.03,25.85,94.21,6.58,17.08,muskmelon,19376.1
94.61,48.1,21.15,19.48,61.92,5.81,78.65,maize,8068.56
85.07,53.33,45.85,25.76,85.24,5.92,204.4,rice,6389.42
13.05,68.79,14.51,17.05,19.78,6.06,124.0,kidneybeans,2501.06
18.89,68.35,20.96,32.78,37.5,6.0,146.7,pigeonpeas,2210.49
26.59,45.37,17.38,26.47,57.38,6.59,57.45,mothbeans,1171.52
101.54,51.1,38.48,21.69,66.24,6.19,69.39,cotton,2763.74
17.7,72.13,18.87,27.33,61.61,6.72,61.25,lentil,1464.1
16.32,26.83,29.61,31.41,49.35,5.66,79.47,mango,11442.93
16.66,64.34,25.48,28.85,40.28,5.64,156.73,pigeonpeas,2345.32
122.43,53.61,27.95,27.07,64.2,6.25,92.02,cotton,3239.01
109.03,49.71,49.01,23.15,55.53,7.09,84.58,wheat,4117.96
50.77,55.54,49.06,33.83,95.05,6.26,142.17,papaya,43819.96
84.77,45.0,45.48,22.52,52.73,6.38,69.5,wheat,4818.33
72.61,42.96,10.19,22.7,57.18,6.05,79.73,maize,7342.96
11.84,19.08,40.36,22.11,89.32,6.37,147.17,pomegranate,8874.59
82.48,45.7,35.75,24.66,77.72,6.04,185.67,rice,6170.98
45.31,60.79,45.52,33.54,89.79,6.06,148.13,papaya,36863.05
99.38,41.51,38.38,24.5,63.15,6.55,78.96,cotton,3330.17
90.06,91.22,59.5,27.79,85.53,5.93,78.25,banana,42531.34
116.12,12.39,47.72,21.41,91.93,6.91,36.34,watermelon,31019.58
111.76,14.15,50.1,25.86,91.85,6.43,24.77,muskmelon,14930.16
13.66,19.09,36.01,23.15,90.68,6.68,135.21,pomegranate,10564.29
15.15,66.01,26.19,20.76,19.1,5.61,92.71,kidneybeans,2320.62
24.42,54.95,28.94,27.51,73.49,6.45,44.73,mungbean,1270.96
19.98,133.25,200.43,21.39,91.39,5.68,131.13,apple,15468.99
48.6,51.28,20.97,21.96,63.06,6.56,103.95,maize,5971.15
18.23,117.59,181.68,25.73,80.4,5.82,58.26,grapes,20687.2
14.68,17.1,36.18,21.77,87.03,6.9,73.49,pomegranate,10269.8
90.17,14.97,48.73,29.47,92.44,6.31,26.31,muskmelon,16640.03
66.06,48.71,28.66,26.46,68.19,6.25,48.98,maize,5974.87
73.55,43.56,35.61,23.59,80.07,6.48,176.77,jute,3462.75
20.72,72.25,23.46,21.17,19.6,5.13,97.14,kidneybeans,3017.41
20.95,128.16,194.42,21.35,91.32,6.08,111.4,apple,16863.21
126.9,16.29,47.82,26.25,95.83,6.39,21.38,muskmelon,16772.0
46.64,55.1,52.01,36.04,92.03,6.83,135.57,papaya,29392.62
11.43,15.13,11.84,19.88,94.15,7.35,43.84,orange,10487.04
29.78,128.0,207.98,21.94,94.23,6.28,66.11,grapes,18326.19
22.07,76.02,18.57,28.28,42.57,5.54,150.96,pigeonpeas,2444.32
19.46,17.48,9.39,19.76,91.84,6.73,104.58,orange,15155.42
83.46,48.03,17.82,21.78,64.56,5.81,79.82,maize,8882.95
21.05,68.94,20.26,25.56,63.12,7.37,38.12,lentil,1790.59
75.56,47.8,19.33,22.67,72.16,6.54,58.76,maize,7890.39
22.72,13.53,11.59,20.25,90.07,7.23,127.28,orange,13490.16
39.84,62.1,14.24,34.22,60.7,6.9,62.49,blackgram,1028.81
105.02,21.26,41.42,26.96,89.27,6.87,23.08,muskmelon,18476.36
20.78,66.07,20.91,21.93,67.18,6.67,44.58,lentil,1836.62
68.28,41.1,16.87,23.72,69.77,6.26,99.5,maize,7341.1
77.09,73.13,42.15,27.67,77.41,5.84,85.31,banana,26466.85
83.92,46.23,17.13,22.2,72.75,5.38,55.65,maize,7286.33
19.39,66.33,18.62,21.55,67.83,6.71,24.44,lentil,1479.69
28.29,122.38,197.96,24.59,88.77,6.0,83.04,grapes,23120.78
41.57,64.97,84.56,16.62,15.92,7.15,46.72,chickpea,1620.24
18.76,41.93,8.96,27.54,53.68,6.78,49.55,mothbeans,1254.78
104.0,10.48,47.58,24.94,81.42,6.49,26.64,watermelon,30148.94
18.58,134.43,207.6,25.34,70.22,5.61,64.43,grapes,22869.95
41.91,68.71,58.69,20.3,18.65,7.65,131.89,chickpea,1061.77
100.34,12.18,49.43,25.03,82.0,6.63,53.5,watermelon,32479.9
115.41,77.79,47.83,28.63,71.89,5.64,126.95,banana,35746.33
68.31,53.71,43.76,24.58,77.45,6.7,157.94,rice,6009.14
21.38,45.84,26.36,25.66,81.4,7.53,38.62,mungbean,1139.54
82.63,41.16,24.24,19.53,67.76,6.31,71.06,maize,7498.87
12.47,21.91,40.68,20.9,90.84,6.4,111.54,pomegranate,10299.66
19.16,51.51,13.34,30.34,77.68,6.5,39.02,mungbean,1022.09
19.61,58.79,24.46,18.82,24.1,5.71,74.14,kidneybeans,2583.99
24.31,20.38,10.29,19.68,88.84,6.37,88.33,orange,12152.08
17.02,56.05,17.94,21.83,23.61,5.83,99.4,kidneybeans,2031.1
28.7,45.23,18.73,26.49,54.91,7.14,33.57,mothbeans,1325.52
55.14,56.84,43.34,30.57,88.12,6.84,171.54,papaya,31803.39
19.83,14.26,27.72,25.27,96.39,5.55,169.69,coconut,6339.02
5.27,31.81,32.46,31.66,49.69,5.75,83.05,mango,9389.5
108.04,23.91,46.56,31.6,90.35,6.24,26.48,muskmelon,17623.95
44.27,65.53,21.42,31.93,70.83,6.98,64.69,blackgram,1169.26
19.91,16.57,37.34,22.28,92.15,6.38,75.26,pomegranate,11240.22
110.82,41.92,48.27,25.44,61.49,6.51,100.68,cotton,2986.5
113.34,15.86,51.64,27.55,88.13,6.18,20.32,muskmelon,19127.02
19.44,74.92,26.33,25.42,68.19,7.41,49.32,lentil,1695.27
103.13,15.33,50.28,31.63,96.04,6.77,28.98,muskmelon,18434.38
12.83,45.88,22.51,26.22,45.87,6.82,59.63,mothbeans,898.84
101.66,12.47,60.35,26.71,94.31,6.31,57.02,watermelon,30760.66
78.98,44.87,42.17,26.99,88.61,6.87,153.69,jute,3514.75
82.26,51.96,43.53,26.86,80.86,6.42,154.76,jute,3757.89
20.75,69.82,20.04,15.83,22.48,6.36,97.8,kidneybeans,2324.88
121.57,33.39,42.87,23.2,70.08,7.03,75.03,cotton,3321.24
41.08,62.51,74.11,15.49,16.18,7.34,64.78,chickpea,1947.71
13.55,21.83,39.7,20.61,92.69,6.63,84.43,pomegranate,10891.07
74.3,42.37,44.54,19.86,51.22,6.38,80.28,wheat,4263.62
115.95,51.43,36.98,24.72,67.0,6.15,95.48,cotton,2995.45
83.04,49.64,47.81,22.18,50.26,6.87,73.79,wheat,5178.11
13.14,76.04,24.14,22.18,20.61,5.66,76.34,kidneybeans,2231.67
118.11,91.72,50.53,26.34,72.36,6.09,82.7,banana,36659.9
39.68,62.95,74.85,22.59,19.99,7.22,49.04,chickpea,1582.6
24.72,70.38,19.23,26.83,74.21,6.86,49.47,lentil,1203.53
23.85,128.85,210.58,24.47,82.28,6.47,78.93,grapes,20089.94
9.57,44.09,23.83,27.17,87.3,6.24,56.98,mungbean,1226.55
100.74,43.87,40.68,20.67,55.24,7.34,68.12,wheat,5250.13
67.78,51.56,38.8,22.25,85.55,6.22,189.17,rice,6510.08
9.55,67.15,18.67,27.2,47.43,5.88,146.0,pigeonpeas,1741.96
33.56,69.46,81.46,16.16,18.42,7.98,83.43,chickpea,1394.71
107.79,69.38,45.75,23.72,78.7,6.36,94.89,banana,39099.47
26.27,17.46,30.36,26.65,98.78,6.11,156.94,coconut,5533.51
17.56,18.85,7.58,23.35,88.76,7.25,110.34,orange,14616.59
27.67,73.61,17.7,29.09,48.02,6.17,168.65,pigeonpeas,1701.54
24.03,15.39,26.62,29.61,97.02,5.83,180.48,coconut,8173.54
21.26,44.22,21.8,27.57,48.3,7.2,60.29,mothbeans,1190.09
17.91,135.47,208.89,23.26,91.82,5.73,123.03,apple,14932.67
115.24,39.56,43.61,24.38,66.8,6.92,92.26,cotton,3073.82
20.11,48.41,18.15,24.84,80.91,6.82,54.82,mungbean,1456.96
